City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Saint George,US,37.1041,-113.5841,47.53,54,0,1.99,clear sky
80,Dalvik,IS,65.9702,-18.5286,49.93,99,100,5.95,overcast clouds
81,Yining,CN,29.0361,114.5636,48.18,85,100,0.67,light rain
82,Revelstoke,CA,50.9832,-118.2023,33.82,100,100,5.75,light rain
83,Saldanha,ZA,-33.0117,17.9442,59.05,92,4,6.17,clear sky
84,Yulara,AU,-25.2406,130.9889,84.04,61,75,19.57,broken clouds
85,East London,ZA,-33.0153,27.9116,65.34,100,100,12.66,mist
86,Gurupa,BR,-1.405,-51.64,73.62,94,100,3.4,overcast clouds
87,Esperance,AU,-33.8667,121.9,69.82,55,32,17.74,scattered clouds
88,Tungor,RU,53.3808,142.9564,15.04,94,100,14.56,light snow
89,Deputatskiy,RU,69.3,139.9,-34.55,98,12,4.45,few clouds
90,Severo-Kurilsk,RU,50.6789,156.125,28.29,62,100,8.66,overcast clouds
91,Butaritari,KI,3.0707,172.7902,82.09,78,38,16.58,light rain
92,Boyolangu,ID,-8.1181,111.8935,85.84,66,47,1.23,scattered clouds
93,Hurghada,EG,27.2574,33.8129,55.2,61,4,16.26,clear sky
94,Beringovskiy,RU,63.05,179.3167,-14.84,89,28,18.16,scattered clouds
95,Hofn,IS,64.2539,-15.2082,30.6,82,100,5.17,overcast clouds
96,Linda,US,39.1277,-121.5508,57.58,81,0,3.44,clear sky
97,Barrow,US,71.2906,-156.7887,-14.78,76,100,5.75,overcast clouds
98,Yashalta,RU,46.3395,42.2762,28.53,90,95,9.37,overcast clouds
99,Labuhan,ID,-6.8844,112.2051,84.69,70,63,9.84,moderate rain
100,Ancud,CL,-41.8697,-73.8203,44.13,77,7,6.91,clear sky
101,Bansang,GM,13.4333,-14.65,76.06,42,11,5.48,few clouds
102,Kavaratti,IN,10.5669,72.642,79.45,71,82,7.27,broken clouds
103,Vaini,TO,-21.2,-175.2,80.91,82,22,18.7,few clouds
104,Geraldton,AU,-28.7667,114.6,93.61,31,0,18.41,clear sky
105,Vila Velha,BR,-20.3297,-40.2925,77.95,91,75,4.61,broken clouds
106,Jamestown,US,42.097,-79.2353,23.29,94,100,3.0,snow
107,Airai,TL,-8.9266,125.4092,70.57,72,100,3.71,overcast clouds
