City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Perumpavur,IN,2022-01-16 23:11:52,10.1333,76.4833,73.31,100,40,2.3
67,Bratsk,RU,2022-01-16 23:11:52,56.1325,101.6142,7.29,98,100,3.09
68,San-Pedro,CI,2022-01-16 23:11:53,4.7485,-6.6363,78.94,88,20,4.9
69,Hithadhoo,MV,2022-01-16 23:11:53,-0.6,73.0833,80.26,74,99,1.86
70,Coahuayana,MX,2022-01-16 23:11:53,18.7333,-103.6833,85.48,65,48,6.82
71,Cape Town,ZA,2022-01-16 23:07:33,-33.9258,18.4232,67.12,68,28,1.01
72,Camopi,GF,2022-01-16 23:11:54,3.1655,-52.3158,72.77,99,100,2.04
73,Petaluma,US,2022-01-16 23:10:59,38.2324,-122.6367,65.88,70,0,1.99
74,Calamar,CO,2022-01-16 23:11:54,10.2511,-74.9146,82.35,56,48,10.76
75,Bowen,AU,2022-01-16 23:11:54,-20.0167,148.2333,85.6,65,80,7.58
76,Goderich,CA,2022-01-16 23:10:23,43.7501,-81.7165,19.9,73,5,11.01
77,Khatanga,RU,2022-01-16 23:11:55,71.9667,102.5,-16.69,92,25,5.84
78,Inta,RU,2022-01-16 23:11:55,66.0317,60.1659,-11.69,100,98,3.69
79,Laguna,US,2022-01-16 23:11:55,38.421,-121.4238,66.43,69,0,1.01
80,Juneau,US,2022-01-16 23:11:56,58.3019,-134.4197,38.84,95,100,0.0
81,Bubaque,GW,2022-01-16 23:11:56,11.2833,-15.8333,78.42,81,89,9.98
82,Tuktoyaktuk,CA,2022-01-16 23:11:56,69.4541,-133.0374,-30.62,99,17,6.69
83,Corinto,GR,2022-01-16 23:11:57,37.9407,22.9573,44.69,80,3,2.84
84,Fort Nelson,CA,2022-01-16 23:11:57,58.8053,-122.7002,4.51,93,100,3.87
85,Hualmay,PE,2022-01-16 23:11:57,-11.0964,-77.6139,74.07,75,51,9.93
86,Mabamba,TZ,2022-01-16 23:11:58,-3.5983,30.5019,61.03,93,100,2.68
87,Airai,TL,2022-01-16 23:11:58,-8.9266,125.4092,65.14,82,100,1.86
88,Esperance,AU,2022-01-16 23:11:58,-33.8667,121.9,64.47,63,48,15.26
89,Yellowknife,CA,2022-01-16 23:11:58,62.456,-114.3525,-10.59,86,79,5.01
90,Puerto Ayora,EC,2022-01-16 23:11:59,-0.7393,-90.3518,74.44,80,99,10.0
91,Msowero,TZ,2022-01-16 23:11:59,-6.5333,37.2,70.81,93,100,1.28
