City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
254,Vao,NC,76.41,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
255,Bardiyah,LY,51.55,few clouds,31.7561,25.0865,بورتو بردية
256,Namibe,AO,66.63,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
258,Goroka,PG,71.53,overcast clouds,-6.0834,145.3873,Bird of Paradise Hotel & Apartments
260,Taree,AU,92.07,overcast clouds,-31.9,152.4667,All Seasons Country Lodge Taree
261,Ayorou,NE,62.51,scattered clouds,14.7308,0.9174,Hotel Amenokal
262,Nelson Bay,AU,90.77,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
264,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
265,Ilhabela,BR,75.36,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
267,Kavieng,PG,82.9,light rain,-2.5744,150.7967,Nusa Island Retreat
271,Pangai,TO,82.4,light rain,-19.8,-174.35,Ha'apai Beach Resort
273,Balaka,MW,65.07,overcast clouds,-14.9793,34.9558,Sun Village Lodge
275,Kalianget,ID,81.55,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
276,Umm Bab,QA,65.88,scattered clouds,25.2142,50.8072,
281,Gore,NZ,79.16,broken clouds,-46.1028,168.9436,Esplanade Motels
283,Lima,PE,71.85,few clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
285,Langsa,ID,84.2,light rain,4.4683,97.9683,OYO 2964 Hotel Ridho
287,Dahegam,IN,55.17,clear sky,23.1667,72.8167,OYO 3231 Malhaar Resort
291,Comodoro Rivadavia,AR,51.66,scattered clouds,-45.8667,-67.5,Austral Hotel
294,Goure,NE,59.02,clear sky,13.9835,10.2704,
296,Saquarema,BR,73.09,overcast clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
297,Gizo,SB,83.73,light rain,-8.103,156.8419,Imagination Island
298,Bendigo,AU,82.63,overcast clouds,-36.7667,144.2833,The Hotel Shamrock
301,Ishigaki,JP,71.73,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
302,Pardi,IN,67.78,clear sky,20.5167,72.95,Hotel Vishram &Guest House
303,Faanui,PF,78.33,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
304,Ratnagiri,IN,75.9,broken clouds,16.9833,73.3,Hotel Landmark
305,Arlit,NE,52.81,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
306,Half Moon Bay,US,61.25,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
307,Byron Bay,AU,89.71,broken clouds,-28.65,153.6167,Backpackers Inn
310,Hambantota,LK,79.74,overcast clouds,6.1241,81.1185,Bungalow 63
315,Aloleng,PH,81.5,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
316,Akyab,MM,70.45,clear sky,20.15,92.9,Hotel Memory
318,Riyadh,SA,51.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
320,Bouca,CF,66.83,broken clouds,6.5105,18.2733,
321,Saint Pete Beach,US,64.17,overcast clouds,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
322,Yangambi,CD,68.45,overcast clouds,0.8102,24.4336,
323,Jacareacanga,BR,72.12,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
324,Wynyard,AU,74.98,clear sky,-41.0,145.7167,Burnie Airport Motel
327,Touros,BR,77.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
330,Adrar,MR,57.25,broken clouds,20.5022,-10.0711,
331,Palmares Do Sul,BR,76.24,overcast clouds,-30.2578,-50.5097,Restaurante e Pensão Lopes
332,Hays,US,52.29,clear sky,30.0502,-98.0336,Sinya on Lone Man Creek
333,Barra,BR,76.53,overcast clouds,-11.0894,-43.1417,Motel Albatroz
336,Saint-Joseph,RE,81.1,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
337,Kangundo,KE,60.42,moderate rain,-1.2979,37.3471,Kmercy Suites
338,Picos,BR,72.1,overcast clouds,-7.0769,-41.4669,Entre Rios Hotel
339,Macapa,BR,76.98,broken clouds,0.0389,-51.0664,Atalanta Hotel
341,Dingle,PH,79.27,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
342,Faya,SA,53.71,few clouds,18.3851,42.4509,املاك خالد الشعشوع
351,Dabakala,CI,75.4,broken clouds,8.3667,-4.4333,Hôtel Campement
353,Grand-Santi,GF,71.46,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
354,Lazaro Cardenas,MX,75.72,clear sky,17.9583,-102.2,quinta antigua
355,Khartoum,SD,62.02,clear sky,15.5518,32.5324,Hotel China
356,Lages,BR,64.74,overcast clouds,-27.8161,-50.3261,Hotel Le CanarD Lages
357,Campoverde,PE,80.29,scattered clouds,-8.4753,-74.8058,Hospedaje Coral's
358,Port Hedland,AU,87.85,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
359,Nchelenge,ZM,68.72,light rain,-9.3451,28.734,KD Travellers Home
360,Mamallapuram,IN,75.25,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
361,Tuatapere,NZ,75.25,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
362,Dire,ML,76.15,overcast clouds,12.2833,-10.9667,
364,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
365,Teknaf,BD,68.76,clear sky,20.8624,92.3058,Forestry Guesthouse
367,Cowra,AU,91.27,overcast clouds,-33.8333,148.6833,Cowra Motor Inn
370,Rio Cuarto,AR,64.83,light rain,-33.1307,-64.3499,Grand Hotel Río Cuarto
371,Quatre Cocos,MU,80.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
372,Inverell,AU,94.66,broken clouds,-29.7833,151.1167,Sapphire City Motor Inn
373,Carahue,CL,52.0,overcast clouds,-38.7,-73.1667,Hospedaje Familiar
374,Pyay,MM,74.91,clear sky,18.8167,95.2167,Shwe Pyi Thar
375,Dingli,MT,51.82,clear sky,35.8614,14.3822,The Xara Palace Relais & Chateaux
376,Moussoro,TD,61.07,clear sky,13.6408,16.4901,Hôtel Salama
379,Ziway,ET,66.69,broken clouds,7.9333,38.7167,Haile Resort Ziway Batu
381,Torata,PE,56.86,overcast clouds,-17.0769,-70.8433,Lodging Sra. Tina Vera
382,Santa Marta,CO,81.9,few clouds,11.2408,-74.199,Casa de Isabella
386,Deneysville,ZA,60.01,overcast clouds,-26.8908,28.0971,The VaalLookout
387,Nicoya,CR,74.75,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
388,Portel,BR,73.69,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
389,Siwan,IN,52.47,clear sky,26.2167,84.3667,Hotel Manish
392,Salinas,US,62.38,broken clouds,36.6777,-121.6555,Laurel Inn & Conference Center
393,Kawalu,ID,86.45,few clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
395,Batemans Bay,AU,90.99,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
396,Big Spring,US,53.11,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
398,Casablanca,MA,59.32,scattered clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
399,Mar Del Plata,AR,68.09,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
400,Salinopolis,BR,78.03,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
402,Pyapon,MM,79.61,few clouds,16.2833,95.6833,Aung Naing Thu Motel
407,Alampur,IN,72.82,overcast clouds,15.8833,78.15,Haritha Hotel Alampur
408,Pailon,BO,79.7,clear sky,-17.65,-62.75,Alojamiento pailon
413,Kalmunai,LK,80.24,overcast clouds,7.4167,81.8167,VS Villa
414,Kabinda,CD,65.32,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
416,Shiyan,CN,57.42,broken clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
418,Carballo,ES,51.01,broken clouds,43.213,-8.691,Pazo do Souto
420,Kruisfontein,ZA,67.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
422,Fonte Boa,BR,74.17,moderate rain,-2.4959,-66.2662,
423,Saint-Georges,GD,78.71,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
425,Biak,ID,78.71,light rain,-0.9131,122.8766,Penginapan Kim
426,South Venice,US,66.22,haze,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
427,George,ZA,65.75,broken clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
429,Mpika,ZM,61.43,light rain,-11.8343,31.4529,Melodies Lodge
430,Graaff-Reinet,ZA,65.91,overcast clouds,-32.2522,24.5308,Rietjiesbos B&B
434,Meulaboh,ID,81.64,scattered clouds,4.1363,96.1285,Kost Pria
437,Saint-Pierre,RE,82.18,clear sky,-21.3393,55.4781,Lindsey Hôtel
439,Springbok,ZA,63.18,clear sky,-29.6643,17.8865,Undulata Country Lodge
440,Asyut,EG,53.44,overcast clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
441,Pundaguitan,PH,79.57,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
443,Banfora,BF,73.35,scattered clouds,10.6333,-4.7667,Residences David Hebié
447,Ngaoundere,CM,61.9,overcast clouds,7.3167,13.5833,Hotel Mentong Palace
448,Dawan,CN,52.97,overcast clouds,24.34,112.948,Hongyan Guest House
449,Sambava,MG,74.01,scattered clouds,-14.2667,50.1667,Melrose
450,Piacabucu,BR,77.77,few clouds,-10.4056,-36.4344,Piaçabuçu News
451,Buta,CD,68.72,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
452,Brufut,GM,71.69,clear sky,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
453,Tucurui,BR,73.02,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
454,Cumpas,MX,62.85,overcast clouds,29.9833,-109.7833,Hotel La Palma
457,Waipawa,NZ,72.93,few clouds,-41.4122,175.5153,Tora Coastal Walk
460,Chhatarpur,IN,50.02,clear sky,24.9,79.6,Hotel La Capitol
461,Galveston,US,51.96,clear sky,29.3669,-94.9669,Comfort Inn & Suites Texas City
462,Morant Bay,JM,78.42,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
465,Nuevo Progreso,MX,56.59,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
467,Palora,EC,64.04,overcast clouds,-1.7,-77.9333,Rancho grande
469,Xuddur,SO,68.56,scattered clouds,4.1213,43.8894,Banjanay Hotel
470,Atar,MR,66.25,overcast clouds,20.5169,-13.0499,Oumou Elghoura
472,Oron,NG,78.1,overcast clouds,4.8256,8.2343,Aqua Belloni Lodge
474,Axim,GH,78.21,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
476,Lindi,TZ,73.27,light rain,-10.0,39.7167,Lindi paradise house
478,Santa Maria Do Suacui,BR,67.26,overcast clouds,-18.1903,-42.4142,Hotel Vale Verde
481,Sola,VU,79.47,overcast clouds,-13.8833,167.55,Leumerus Bungalows
482,Bosaso,SO,71.08,scattered clouds,11.2842,49.1816,Red Sea Hotel
483,Kyaikto,MM,77.14,clear sky,17.3,97.0167,နီလာ တည်းခိုခန်း
485,Luanda,AO,75.2,few clouds,-8.8368,13.2343,Hotel Fórum
489,Trincomalee,LK,80.49,overcast clouds,8.5711,81.2335,Welcombe Hotel
492,Cap Malheureux,MU,80.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
493,Lufilufi,WS,89.38,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
494,Businga,CD,68.34,overcast clouds,3.3333,20.8833,
495,Jocon,HN,61.5,broken clouds,15.2833,-86.9667,
496,Bartica,GY,75.52,light rain,6.4,-58.6167,Sloth Island Nature Resort
497,Simbahan,PH,80.56,light rain,6.3032,120.5836,
498,Kimbe,PG,86.65,light rain,-5.5502,150.1429,Kimbe Bay Hotel
499,Naifaru,MV,82.65,scattered clouds,5.4444,73.3657,Naifaru Residence Guest House
500,Treinta Y Tres,UY,73.69,broken clouds,-33.2333,-54.3833,Jardines Apart-Hotel
501,Tuxpan,MX,62.37,broken clouds,19.55,-103.4,Hotel y Restaurante Campestre La Cabaña
502,Auki,SB,85.28,scattered clouds,-8.7676,160.7034,Auki Motel
503,Shwebo,MM,67.91,clear sky,22.5667,95.7,MOON SHINE Guest House
504,Wanganui,NZ,79.74,clear sky,-39.9333,175.05,Aotea Motor Lodge
506,Moundou,TD,69.01,overcast clouds,8.5667,16.0833,Planete Life
509,San Andres,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
510,Cururupu,BR,73.47,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
512,Finschhafen,PG,83.75,broken clouds,-6.6024,147.8681,Cossam Guest House
513,Padilla,CO,72.97,overcast clouds,3.2204,-76.3139,La Granadina
516,Bonthe,SL,78.21,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
517,Sao Filipe,CV,71.29,clear sky,14.8961,-24.4956,Hotel Xaguate
518,Samarai,PG,84.18,overcast clouds,-10.6167,150.6667,Nuli Sapi
519,Tambun,ID,84.24,haze,-6.2641,107.0712,Metland Hotel Bekasi
521,Los Llanos De Aridane,ES,65.12,haze,28.6585,-17.9182,Valle Aridane
523,Ambilobe,MG,75.65,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
524,Kandrian,PG,87.87,light rain,-6.2167,149.55,Kandrian Station
525,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
527,Bani Walid,LY,50.92,overcast clouds,31.7566,13.9942,منزل مفتاح محمد الزلبي
528,Ixtapa,MX,74.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
529,Bombay,IN,75.18,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
530,Codo,BR,71.96,broken clouds,-4.4553,-43.8856,Hotel Porto do Sol
533,Puri,IN,64.92,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
534,Padang,ID,86.05,few clouds,-0.9492,100.3543,Mercure Padang
535,Kaduqli,SD,69.8,scattered clouds,11.0167,29.7167,فندق الله جابو
536,Morro Bay,US,62.2,broken clouds,35.3658,-120.8499,Inn at Morro Bay
537,La Palma,US,70.03,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
538,Ligayan,PH,80.04,overcast clouds,4.6533,119.4706,
539,Tateyama,JP,53.87,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
542,Denpasar,ID,82.76,overcast clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
543,Valparaiso,CL,62.24,overcast clouds,-33.0393,-71.6273,Hotel Ultramar
544,Rocha,UY,73.31,broken clouds,-34.4833,-54.3333,Hotel Arrarte
545,Richards Bay,ZA,72.46,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
547,Abilene,US,54.09,clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
548,Daru,PG,82.72,overcast clouds,-9.0763,143.2092,Daru Lodge
549,Sungairaya,ID,85.42,scattered clouds,0.7,108.9,Mess P.Milu
553,Sriperumbudur,IN,74.88,broken clouds,12.9689,79.9489,Sree Residency
