City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kaitangata,NZ,2022-01-17 00:55:22,-46.2817,169.8464,68.94,75,98,3.94
68,Los Llanos De Aridane,ES,2022-01-17 00:55:22,28.6585,-17.9182,65.95,40,100,15.99
69,Codrington,AU,2022-01-17 00:55:23,-38.2667,141.9667,66.33,60,100,13.67
70,Pout,SN,2022-01-17 00:55:23,14.7739,-17.0603,73.38,88,0,4.61
71,Mawlaik,MM,2022-01-17 00:55:23,23.6333,94.4167,54.81,92,12,2.06
72,Talnakh,RU,2022-01-17 00:55:24,69.4865,88.3972,13.21,87,97,15.52
73,Jamestown,US,2022-01-17 00:54:14,42.097,-79.2353,22.51,92,100,4.0
74,Pisco,PE,2022-01-17 00:55:24,-13.7,-76.2167,71.65,83,75,17.27
75,Raudeberg,NO,2022-01-17 00:55:24,61.9875,5.1352,32.2,80,100,5.01
76,Torquay,GB,2022-01-17 00:55:25,50.4638,-3.5143,41.32,94,1,1.99
77,Trincomalee,LK,2022-01-17 00:55:25,8.5711,81.2335,79.47,75,98,13.02
78,Chinsali,ZM,2022-01-17 00:55:25,-10.5414,32.0816,62.67,95,100,3.74
79,Lata,PT,2022-01-17 00:55:26,40.1629,-8.3327,52.81,89,55,3.47
80,Balad,IQ,2022-01-17 00:55:26,34.0164,44.1453,48.69,73,100,3.27
81,Egvekinot,RU,2022-01-17 00:55:26,66.3167,-179.1667,-16.38,87,6,9.4
82,Dwarka,IN,2022-01-17 00:55:27,22.2394,68.9678,67.26,60,2,13.02
83,Isangel,VU,2022-01-17 00:55:27,-19.55,169.2667,86.11,66,20,4.61
84,Mwene-Ditu,CD,2022-01-17 00:52:47,-7.0,23.45,64.31,99,100,3.96
85,Tasiilaq,GL,2022-01-17 00:55:27,65.6145,-37.6368,17.24,95,100,15.7
86,Lokosovo,RU,2022-01-17 00:55:28,61.1333,74.8167,23.09,91,100,16.17
87,Ginda,IN,2022-01-17 00:55:28,30.6945,78.4932,43.39,39,33,6.64
88,Pangnirtung,CA,2022-01-17 00:55:28,66.1451,-65.7125,-14.44,67,17,5.35
89,Kalmunai,LK,2022-01-17 00:55:29,7.4167,81.8167,76.48,83,100,7.05
90,Vila Velha,BR,2022-01-17 00:55:29,-20.3297,-40.2925,78.75,88,40,5.99
91,Avarua,CK,2022-01-17 00:55:29,-21.2078,-159.775,82.45,78,100,34.52
92,San Cristobal,VE,2022-01-17 00:56:30,7.7669,-72.225,73.58,74,100,0.85
93,Yellowknife,CA,2022-01-17 00:56:30,62.456,-114.3525,-11.58,83,100,8.05
94,Punta Arenas,CL,2022-01-17 00:56:31,-53.15,-70.9167,46.51,46,0,16.11
95,Provideniya,RU,2022-01-17 00:56:31,64.3833,-173.3,3.31,60,0,13.42
96,Nuuk,GL,2022-01-17 00:56:31,64.1835,-51.7216,14.88,92,100,8.99
97,Cidreira,BR,2022-01-17 00:56:32,-30.1811,-50.2056,76.06,90,100,3.67
98,Chuy,UY,2022-01-17 00:56:32,-33.6971,-53.4616,72.72,94,9,5.86
99,Port Alfred,ZA,2022-01-17 00:56:32,-33.5906,26.891,70.88,93,100,12.03
100,Faya,SA,2022-01-17 00:56:33,18.3851,42.4509,54.12,86,28,5.08
101,Capelinha,BR,2022-01-17 00:56:19,-17.6914,-42.5158,64.04,95,100,2.13
102,Thompson,CA,2022-01-17 00:56:33,55.7435,-97.8558,-7.44,77,100,10.36
103,Fairbanks,US,2022-01-17 00:56:04,64.8378,-147.7164,3.6,83,100,0.0
104,Megion,RU,2022-01-17 00:56:33,61.0296,76.1136,23.02,88,100,20.42
105,Lethem,GY,2022-01-17 00:56:34,3.3803,-59.7968,80.71,68,71,9.73
106,Amuntai,ID,2022-01-17 00:56:34,-2.4177,115.2494,81.21,75,100,0.94
107,Grand Gaube,MU,2022-01-17 00:55:07,-20.0064,57.6608,78.39,85,91,1.99
108,Sale,MA,2022-01-17 00:56:34,34.0389,-6.8166,48.22,100,8,0.0
109,Port Lincoln,AU,2022-01-17 00:53:48,-34.7333,135.8667,66.76,65,98,12.77
110,Mungwi,ZM,2022-01-17 00:56:35,-10.1732,31.3694,60.78,96,100,3.56
111,Baiyin,CN,2022-01-17 00:56:35,36.5583,104.2081,11.28,43,0,2.08
112,Hovd,MN,2022-01-17 00:56:36,48.0056,91.6419,2.23,84,29,2.35
113,Qaanaaq,GL,2022-01-17 00:56:36,77.484,-69.3632,-7.37,58,0,6.53
114,Pimenta Bueno,BR,2022-01-17 00:56:37,-11.6725,-61.1936,73.58,94,4,2.59
115,Arrecife,ES,2022-01-17 00:56:37,28.963,-13.5477,68.07,68,0,16.11
116,Semnan,IR,2022-01-17 00:56:37,35.5729,53.3971,37.04,58,0,1.77
117,Behbahan,IR,2022-01-17 00:56:37,30.5959,50.2417,47.52,46,0,3.18
118,Mar Del Plata,AR,2022-01-17 00:52:27,-38.0023,-57.5575,70.09,89,100,13.0
119,Mingyue,CN,2022-01-17 00:56:38,43.1069,128.9217,6.6,77,100,9.55
120,Lakatoro,VU,2022-01-17 00:56:38,-16.0999,167.4164,84.09,73,30,7.36
121,Walvis Bay,NA,2022-01-17 00:56:39,-22.9575,14.5053,68.09,82,100,7.05
122,Saldanha,ZA,2022-01-17 00:56:39,-33.0117,17.9442,62.65,92,5,6.29
123,Iquitos,PE,2022-01-17 00:56:39,-3.7481,-73.2472,80.64,83,40,3.44
124,Airai,TL,2022-01-17 00:56:39,-8.9266,125.4092,69.89,71,100,3.15
125,Saint George,US,2022-01-17 00:56:40,37.1041,-113.5841,52.27,41,100,1.01
126,Mogzon,RU,2022-01-17 00:56:40,51.7435,111.9606,-11.42,98,100,2.15
127,Lorengau,PG,2022-01-17 00:56:40,-2.0226,147.2712,83.52,74,99,3.85
128,Aban,RU,2022-01-17 00:56:41,56.67,96.06,11.89,96,100,3.71
129,Peno,RU,2022-01-17 00:56:41,56.9262,32.7426,27.55,95,100,13.67
130,Riyadh,SA,2022-01-17 00:53:02,24.6877,46.7219,53.74,35,0,2.55
131,Mahebourg,MU,2022-01-17 00:56:41,-20.4081,57.7,78.26,88,40,1.14
132,Sycow,PL,2022-01-17 00:56:42,51.3081,17.7198,40.14,90,100,20.62
133,Vanavara,RU,2022-01-17 00:56:42,60.34,102.2797,-14.3,100,30,3.69
134,Kamaishi,JP,2022-01-17 00:56:42,39.2667,141.8833,34.75,64,45,18.81
135,Georgetown,MY,2022-01-17 00:54:00,5.4112,100.3354,80.89,78,20,5.99
136,Carlagan,PH,2022-01-17 00:56:43,14.975,122.0456,77.58,62,100,14.83
137,Ponta Do Sol,PT,2022-01-17 00:56:43,32.6667,-17.1,65.03,67,100,18.95
138,Plettenberg Bay,ZA,2022-01-17 00:56:43,-34.0527,23.3716,68.14,84,100,2.86
139,Arraial Do Cabo,BR,2022-01-17 00:56:44,-22.9661,-42.0278,76.96,83,20,11.5
140,Cape Town,ZA,2022-01-17 00:56:30,-33.9258,18.4232,66.09,75,0,1.01
141,Majene,ID,2022-01-17 00:57:44,-3.5403,118.9707,82.9,69,100,7.07
142,Vao,NC,2022-01-17 00:57:44,-22.6667,167.4833,76.15,74,28,18.88
143,Half Moon Bay,US,2022-01-17 00:57:45,37.4636,-122.4286,65.34,63,100,0.0
144,Praia Da Vitoria,PT,2022-01-17 00:57:45,38.7333,-27.0667,55.65,67,40,13.73
145,Tukrah,LY,2022-01-17 00:57:45,32.5341,20.5791,52.92,68,8,5.75
146,Mongo,TD,2022-01-17 00:57:45,12.1844,18.693,65.14,24,49,6.33
147,Doba,TD,2022-01-17 00:57:46,8.65,16.85,68.72,23,95,5.77
148,Fortuna,US,2022-01-17 00:57:46,40.5982,-124.1573,51.42,93,100,0.0
149,Ornskoldsvik,SE,2022-01-17 00:57:46,63.2909,18.7153,30.02,86,100,11.5
150,Guerrero Negro,MX,2022-01-17 00:57:47,27.9769,-114.0611,65.89,51,100,11.7
151,Bonavista,CA,2022-01-17 00:57:47,48.6499,-53.1147,23.11,66,99,22.95
152,Moranbah,AU,2022-01-17 00:57:47,-22.0016,148.0466,93.22,40,99,9.19
153,Saint-Pierre,RE,2022-01-17 00:57:48,-21.3393,55.4781,78.48,84,0,8.05
154,Antofagasta,CL,2022-01-17 00:57:48,-23.65,-70.4,66.74,82,5,4.43
155,Puerto Escondido,MX,2022-01-17 00:57:48,15.85,-97.0667,77.99,74,2,7.09
156,Toktogul,KG,2022-01-17 00:57:49,41.8708,72.9402,35.11,71,100,2.24
157,Flinders,AU,2022-01-17 00:57:49,-34.5833,150.8552,85.17,77,99,4.0
158,Klaksvik,FO,2022-01-17 00:57:49,62.2266,-6.589,36.52,84,100,4.05
159,East London,ZA,2022-01-17 00:57:49,-33.0153,27.9116,74.17,86,67,1.28
160,Kodiak,US,2022-01-17 00:57:50,57.79,-152.4072,28.9,68,18,4.21
161,Coihueco,CL,2022-01-17 00:57:50,-36.6167,-71.8333,53.62,60,61,4.16
162,Leningradskiy,RU,2022-01-17 00:57:50,69.3833,178.4167,-26.14,96,26,4.43
163,Marondera,ZW,2022-01-17 00:57:51,-18.1853,31.5519,59.86,88,90,3.98
164,Hammerfest,NO,2022-01-17 00:57:51,70.6634,23.6821,23.45,74,100,25.32
165,Teguise,ES,2022-01-17 00:57:51,29.0605,-13.564,62.82,68,0,16.11
166,Kosonsoy,UZ,2022-01-17 00:57:52,41.2561,71.5508,32.56,54,100,1.63
167,Tuatapere,NZ,2022-01-17 00:57:52,-46.1333,167.6833,75.78,49,10,4.05
168,Kasulu,TZ,2022-01-17 00:57:52,-4.5767,30.1025,60.75,94,100,3.87
169,Kruisfontein,ZA,2022-01-17 00:57:53,-34.0033,24.7314,68.88,90,21,4.65
170,Spinea,IT,2022-01-17 00:57:53,45.4931,12.1606,41.14,88,75,2.3
171,Carnarvon,AU,2022-01-17 00:57:53,-24.8667,113.6333,77.07,73,40,18.41
